time,percentage returns
2016-06-27,-1.7192033398737427
2016-06-28,-0.8746355685131157
2016-06-29,3.529411764705892
2016-06-30,-0.5681818181818232
2016-07-01,0.0
2016-07-04,-1.1428628571428567
2016-07-05,0.5780404958404928
2016-07-06,1.1494252873563315
2016-07-08,-0.5681818181818232
2016-07-11,-0.5714285714285783
2016-07-12,-0.8620689655172376
2016-07-13,0.5797101449275477
2016-07-14,0.0
2016-07-15,-0.2881902017291216
2016-07-18,0.2890231380938246
2016-07-19,2.593654178674343
2016-07-20,2.2472023734383395
2016-07-21,-0.8241867679018244
2016-07-22,0.0
2016-07-25,1.1080388425506404
2016-07-26,3.8356219178082185
2016-07-27,-0.5277097346854998
2016-07-28,1.0610026525198935
2016-07-29,0.26247245472297287
2016-08-01,2.0942408376963373
2016-08-02,3.8461538461538547
2016-08-03,0.0
2016-08-04,-4.197530864197541
2016-08-05,1.030927835051565
2016-08-08,0.5102091836734601
2016-08-09,1.5228374861503857
2016-08-10,-0.24999500000000285
2016-08-11,0.2506215413222268
2016-08-12,0.0
2016-08-15,2.499999999999991
2016-08-16,3.658536585365857
2016-08-17,1.17647058823529
2016-08-18,-1.1627906976744207
2016-08-19,0.0
2016-08-22,-2.352941176470591
2016-08-23,3.6144578313253017
2016-08-24,-1.1627906976744207
2016-08-25,-6.823534117647057
2016-08-26,-0.25252021477374376
2016-08-29,1.2658227848101333
2016-08-30,0.0
2016-08-31,1.2499999999999956
2016-09-01,-1.2345679012345734
2016-09-02,-0.24999500000000285
2016-09-05,-6.766921966570328
2016-09-06,2.1505376344086002
2016-09-07,-1.05263684210527
2016-09-08,1.3297873047759312
2016-09-09,0.26247245472297287
2016-09-13,-1.0471204188481797
2016-09-14,0.0
2016-09-15,-0.2645502645502451
2016-09-16,0.5305092838196135
2016-09-19,0.5276939035517625
2016-09-20,0.7874121148247815
2016-09-21,-1.0416718207462594
2016-09-22,2.105263157894721
2016-09-23,0.7731907216494971
2016-09-26,0.25575960387518304
2016-09-27,0.5102091836734601
2016-09-28,1.5228374861503857
2016-09-29,-0.5000000000000115
2016-09-30,0.0
2016-10-03,3.015075376884435
2016-10-04,-2.4390243902439046
2016-10-05,0.0
2016-10-06,0.0
2016-10-07,1.2499999999999956
2016-10-10,0.0
2016-10-11,-1.2345679012345734
2016-10-12,-1.4999949999999984
2016-10-13,1.5228374861503857
2016-10-14,0.0
2016-10-17,-1.0000050000000038
2016-10-18,-0.25252021477374376
2016-10-19,0.0
2016-10-21,-0.25315949367088475
2016-10-24,1.5228374861503857
2016-10-25,0.0
2016-10-26,-0.24999500000000285
2016-10-27,0.2506215413222268
2016-10-28,-0.7499999999999951
2016-10-31,0.25188916876572875
2016-11-01,5.527638190954787
2016-11-02,-1.1904761904761862
2016-11-03,2.4096385542168752
2016-11-04,0.0
2016-11-07,-1.17647058823529
2016-11-08,-1.1904761904761862
2016-11-09,0.0
2016-11-10,1.2048192771084265
2016-11-11,0.0
2016-11-14,-3.57142857142857
2016-11-15,0.0
2016-11-16,3.703703703703698
2016-11-17,-2.3809523809523836
2016-11-18,-1.2195121951219523
2016-11-21,-1.2345679012345734
2016-11-22,1.2499999999999956
2016-11-23,0.0
2016-11-24,-1.728395061728405
2016-11-25,0.0
2016-11-28,-0.2512562814070196
2016-11-29,0.0
2016-11-30,0.503783375314848
2016-12-01,0.2506215413222268
2016-12-02,-0.5000000000000115
2016-12-05,0.0
2016-12-06,-0.7537688442211032
2016-12-07,-0.5063291139240533
2016-12-08,-3.307888040712459
2016-12-09,0.7894736842105177
2016-12-13,-0.7832898172323688
2016-12-14,-0.526315789473697
2016-12-15,-0.7936507936507908
