time,open,high,close,low,Volume
8/15/2008,5.55,6.05,5.85,5.55,27470000
8/18/2008,5.85,6,5.85,5.7,8020000
8/19/2008,5.85,5.9,5.8,5.75,14860000
8/20/2008,5.8,5.9,5.8,5.8,9620000
8/21/2008,5.8,5.85,5.8,5.7,17240000
8/22/2008,5.8,5.85,5.75,5.7,6940000
8/25/2008,5.75,5.8,5.7,5.6,12930000
8/26/2008,5.7,6,5.7,5.55,7430000
8/27/2008,5.7,5.8,5.65,5.5,12680000
8/28/2008,5.65,5.75,5.65,5.5,19980000
8/29/2008,5.65,5.7,5.5,5.25,35320000
09/01/2008,5.5,5.6,5.4,5.1,8170000
09/02/2008,5.4,5.5,5.35,5.2,5140000
09/03/2008,5.35,5.5,5.35,5.2,13150000
09/04/2008,5.35,5.35,5.25,5.2,8030000
09/05/2008,5.25,5.45,5.25,5.2,15780000
09/08/2008,5.25,5.4,5.3,5.2,12540000
09/09/2008,5.3,5.4,5.3,5.25,9870000
09/10/2008,5.3,5.4,5.25,5.2,20000000
09/11/2008,5.25,5.3,5.2,5.05,11860000
09/12/2008,5.2,5.25,5.15,5.05,25500000
9/15/2008,5.15,5.2,5.05,4.85,5290000
9/16/2008,5.05,5.1,4.8,4.6,48810000
9/17/2008,4.8,4.95,4.8,4.7,7310000
9/18/2008,4.8,5.2,4.9,4.75,34870000
9/19/2008,4.9,5.05,4.9,4.85,32340000
9/22/2008,4.9,5.1,4.95,4.65,19360000
9/23/2008,4.95,5,4.95,4.85,22370000
9/24/2008,4.95,5,4.95,4.9,17660000
9/25/2008,4.95,5.1,4.95,4.9,31620000
9/26/2008,4.95,5.05,4.95,4.9,12140000
9/29/2008,4.95,5,4.95,4.9,5570000
9/30/2008,4.95,5,4.9,4.8,8640000
10/02/2008,4.9,5,4.85,4.8,4530000
10/03/2008,4.85,4.95,4.8,4.7,29440000
10/06/2008,4.8,4.8,4.75,4.7,9260000
10/07/2008,4.75,4.75,4.5,4.3,25830000
10/08/2008,4.5,4.4,4.05,4.05,15220000
10/09/2008,4.05,4,3.7,3.65,72820000
10/13/2008,3.7,4.05,3.95,3.75,16680000
10/14/2008,3.95,4.35,4,3.9,20400000
10/15/2008,4,4.35,4.05,4,15900000
10/16/2008,4.05,4.3,3.95,3.8,11860000
10/17/2008,3.95,4.3,3.9,3.8,5450000
10/21/2008,3.9,4,3.7,3.55,9350000
10/22/2008,3.7,3.8,3.6,3.5,6090000
10/23/2008,3.6,3.8,3.6,3.5,8190000
10/24/2008,3.6,3.6,3.45,3.35,8740000
10/27/2008,3.45,3.7,3.4,3.3,8140000
10/28/2008,3.4,3.5,3.25,3.1,7700000
10/29/2008,3.25,3.4,3.1,3,9350000
10/30/2008,3.1,3.25,3.1,3.05,12070000
10/31/2008,3.1,3.4,3.35,3.2,23910000
11/03/2008,3.35,3.7,3.55,3.4,11070000
11/04/2008,3.55,3.9,3.85,3.8,12250000
11/05/2008,3.85,4.2,4.15,4,23110000
11/07/2008,4.15,4.3,4,3.8,22940000
11/10/2008,4,4.4,4.2,4.05,8650000
11/11/2008,4.2,4.5,4.25,4.05,21870000
11/12/2008,4.25,4.3,3.85,3.65,13830000
11/13/2008,3.85,3.9,3.8,3.55,4370000
11/14/2008,3.8,4,3.8,3.8,12620000
11/17/2008,3.8,3.95,3.85,3.75,6030000
11/18/2008,3.85,3.9,3.8,3.7,13170000
11/19/2008,3.8,3.8,3.65,3.5,7060000
11/20/2008,3.65,3.85,3.6,3.5,7690000
11/21/2008,3.6,3.7,3.65,3.5,15730000
11/24/2008,3.65,3.7,3.6,3.55,8250000
11/25/2008,3.6,3.8,3.7,3.6,4640000
11/26/2008,3.7,3.9,3.75,3.65,5560000
11/27/2008,3.75,3.8,3.75,3.6,1670000
11/28/2008,3.75,3.8,3.65,3.55,7090000
12/01/2008,3.65,3.7,3.55,3.5,2280000
12/02/2008,3.55,3.55,3.35,3.2,6240000
12/03/2008,3.35,3.4,3.35,3.25,1130000
12/04/2008,3.35,3.4,3.2,3.2,5250000
12/05/2008,3.2,3.4,3.3,3.2,4480000
12/08/2008,3.3,3.4,3.2,3.15,3540000
12/09/2008,3.2,3.3,3.25,3.2,3490000
12/10/2008,3.25,3.4,3.3,3.2,4170000
12/11/2008,3.3,3.4,3.35,3.25,2680000
12/15/2008,3.35,3.5,3.4,3.3,2980000
12/16/2008,3.4,3.5,3.35,3.3,6430000
12/17/2008,3.35,3.5,3.35,3.3,3170000
12/18/2008,3.35,3.6,3.45,3.35,5330000
12/19/2008,3.45,3.6,3.45,3.4,12450000
12/22/2008,3.45,3.6,3.5,3.4,2940000
12/23/2008,3.5,3.6,3.5,3.45,2270000
12/24/2008,3.5,3.7,3.55,3.5,4530000
12/29/2008,3.55,3.75,3.55,3.45,13730000
12/30/2008,3.55,3.7,3.6,3.5,9340000
12/31/2008,3.6,3.7,3.6,3.55,1040000
01/02/2009,3.6,3.75,3.6,3.6,1220000
01/05/2009,3.6,3.75,3.6,3.6,1560000
01/06/2009,3.6,3.75,3.6,3.6,3840000
01/07/2009,3.6,3.75,3.6,3.6,4520000
01/08/2009,3.6,3.7,3.55,3.5,3140000
01/09/2009,3.55,3.65,3.55,3.5,3010000
