,time,open,high,close,low,Volume,log returns,simple returns,absolute log return,30 moving average,21-day rolling volatility
57,2008-08-27,5.7,5.8,5.65,5.5,12680000,-0.008810629682154807,-0.00877192982456132,0.008810629682154807,0.017723212186088744,0.026301755056682436
58,2008-08-28,5.65,5.75,5.65,5.5,19980000,0.0,0.0,0.0,0.01747163866490931,0.026277543193283532
59,2008-08-29,5.65,5.7,5.5,5.25,35320000,-0.02690745291992438,-0.026548672566371723,0.02690745291992438,0.01628454186286233,0.02633950112674706
60,2008-09-01,5.5,5.6,5.4,5.1,8170000,-0.01834913866819643,-0.018181818181818077,0.01834913866819643,0.01636283510692084,0.026367326689934023
61,2008-09-02,5.4,5.5,5.35,5.2,5140000,-0.009302392662313674,-0.009259259259259411,0.009302392662313674,0.015888564948658153,0.02627414393883473
62,2008-09-03,5.35,5.5,5.35,5.2,13150000,0.0,0.0,0.0,0.015888564948658153,0.026142519365532736
63,2008-09-04,5.35,5.35,5.25,5.2,8030000,-0.01886848430438269,-0.01869158878504662,0.01886848430438269,0.01651751442547091,0.02633076675961529
64,2008-09-05,5.25,5.45,5.25,5.2,15780000,0.0,0.0,0.0,0.015996670495368213,0.02633076675961529
65,2008-09-08,5.25,5.4,5.3,5.2,12540000,0.009478743954543739,0.00952380952380949,0.009478743954543739,0.016049122643615896,0.02598753830714205
66,2008-09-09,5.3,5.4,5.3,5.25,9870000,0.0,0.0,0.0,0.014422783837968163,0.025750146913846732
67,2008-09-10,5.3,5.4,5.25,5.2,20000000,-0.00947874395454377,-0.009433962264150941,0.00947874395454377,0.014459800314102404,0.021302263457215972
68,2008-09-11,5.25,5.3,5.2,5.05,11860000,-0.009569451016150672,-0.00952380952380949,0.009569451016150672,0.013927671947801933,0.021320837364387453
69,2008-09-12,5.2,5.25,5.15,5.05,25500000,-0.009661910911736859,-0.009615384615384581,0.009661910911736859,0.013670010887797525,0.015289451977571155
70,2008-09-15,5.15,5.2,5.05,4.85,5290000,-0.019608471388376424,-0.019417475728155442,0.019608471388376424,0.014032503935118252,0.00873260396775643
71,2008-09-16,5.05,5.1,4.8,4.6,48810000,-0.05077232537342326,-0.04950495049504955,0.05077232537342326,0.015436312689461875,0.012785092581484662
72,2008-09-17,4.8,4.95,4.8,4.7,7310000,0.0,0.0,0.0,0.015147710598024723,0.012949333987202855
73,2008-09-18,4.8,5.2,4.9,4.75,34870000,0.020619287202735825,0.02083333333333348,0.020619287202735825,0.015835020171449252,0.014370520061902283
74,2008-09-19,4.9,5.05,4.9,4.85,32340000,0.0,0.0,0.0,0.014953911602510733,0.014370520061902283
75,2008-09-22,4.9,5.1,4.95,4.65,19360000,0.010152371464017908,0.010204081632652962,0.010152371464017908,0.014691707134555388,0.014905668195707527
76,2008-09-23,4.95,5.0,4.95,4.85,22370000,0.0,0.0,0.0,0.012499994549129373,0.014980454247259105
77,2008-09-24,4.95,5.0,4.95,4.9,17660000,0.0,0.0,0.0,0.012177930852071476,0.014980454247259105
78,2008-09-25,4.95,5.1,4.95,4.9,31620000,0.0,0.0,0.0,0.010006620779706096,0.015042168365944053
79,2008-09-26,4.95,5.05,4.95,4.9,12140000,0.0,0.0,0.0,0.008251829663525365,0.015042168365944053
80,2008-09-29,4.95,5.0,4.95,4.9,5570000,0.0,0.0,0.0,0.008251829663525365,0.014327945888347696
81,2008-09-30,4.95,5.0,4.9,4.8,8640000,-0.010152371464017962,-0.010101010101010055,0.010152371464017962,0.00830411725594625,0.014055657490976328
82,2008-10-02,4.9,5.0,4.85,4.8,4530000,-0.01025650016718922,-0.010204081632653184,0.01025650016718922,0.008646000594852559,0.014073057721214269
83,2008-10-03,4.85,4.95,4.8,4.7,29440000,-0.010362787035546547,-0.010309278350515427,0.010362787035546547,0.008991426829370774,0.014082714728639487
84,2008-10-06,4.8,4.8,4.75,4.7,9260000,-0.010471299867295366,-0.01041666666666663,0.010471299867295366,0.00905186806684347,0.01379036471787354
85,2008-10-07,4.75,4.75,4.5,4.3,25830000,-0.05406722127027582,-0.052631578947368474,0.05406722127027582,0.010562986110227511,0.017424392188689967
86,2008-10-08,4.5,4.4,4.05,4.05,15220000,-0.1053605156578264,-0.10000000000000009,0.1053605156578264,0.014075003298821723,0.027174639605082134
87,2008-10-09,4.05,4.0,3.7,3.65,72820000,-0.09038406146826894,-0.08641975308641969,0.09038406146826894,0.016794117691692197,0.031807246880472706
88,2008-10-13,3.7,4.05,3.95,3.75,16680000,0.06538275926285171,0.06756756756756754,0.06538275926285171,0.018973543000453917,0.036547521021206966
89,2008-10-14,3.95,4.35,4.0,3.9,20400000,0.012578782206859965,0.012658227848101111,0.012578782206859965,0.018495920643351774,0.03698503480485486
90,2008-10-15,4.0,4.35,4.05,4.0,15900000,0.01242251999855711,0.012499999999999956,0.01242251999855711,0.01829836668769713,0.03738142780355999
91,2008-10-16,4.05,4.3,3.95,3.8,11860000,-0.025001302205417155,-0.024691358024691246,0.025001302205417155,0.018821663672467244,0.03745877903765666
92,2008-10-17,3.95,4.3,3.9,3.8,5450000,-0.012739025777429826,-0.012658227848101333,0.012739025777429826,0.019246297865048237,0.03637901456767862
93,2008-10-21,3.9,4.0,3.7,3.55,9350000,-0.05264373348542191,-0.05128205128205121,0.05264373348542191,0.02037213950441621,0.0374613186255472
94,2008-10-22,3.7,3.8,3.6,3.5,6090000,-0.027398974188114503,-0.027027027027027084,0.027398974188114503,0.021285438644020032,0.03680519025329644
95,2008-10-23,3.6,3.8,3.6,3.5,8190000,0.0,0.0,0.0,0.020969480512201908,0.03680519025329644
96,2008-10-24,3.6,3.6,3.45,3.35,8740000,-0.04255961441879589,-0.04166666666666663,0.04255961441879589,0.022388134326161768,0.03682434488243866
97,2008-10-27,3.45,3.7,3.4,3.3,8140000,-0.014598799421152749,-0.01449275362318847,0.014598799421152749,0.0225588028417154,0.03662081680904201
98,2008-10-28,3.4,3.5,3.25,3.1,7700000,-0.045120435280469544,-0.044117647058823484,0.045120435280469544,0.02374383565052603,0.03684190421580203
